,Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,Difference,C-Difference
209,1999-03-11,5822,5969,5518,5830,2493040,4.18155825589707,1230.0,-0.23926355488868528,234,-2.9500000000000455
210,1999-03-12,5829,5907,5674,5752,1190280,-1.3379073756432247,1233.5,0.2845528455284553,-78,3.5
211,1999-03-15,5984,6101,5751,5752,1436140,0.0,1230.5,-0.24321037697608433,0,-3.0
212,1999-03-16,5744,6101,5682,6102,1581590,6.084840055632823,1222.5,-0.650142218610321,350,-8.0
213,1999-03-17,6226,6444,5907,5985,2009870,-1.9174041297935103,1227.0,0.36809815950920244,-117,4.5
214,1999-03-18,5984,6101,5518,5557,1063580,-7.151211361737678,1223.0,-0.32599837000814996,-428,-4.0
215,1999-03-19,5635,5907,5596,5907,930850,6.2983624257693,1215.0,-0.6541291905151267,350,-8.0
216,1999-03-22,5984,6140,5829,5985,1059350,1.3204672422549517,1222.75,0.6378600823045267,78,7.75
217,1999-03-23,6133,6451,5993,6156,1232690,2.857142857142857,1225.25,0.20445716622367613,171,2.5
218,1999-03-24,5946,6218,5923,6218,1150550,1.0071474983755686,1223.2,-0.16731279330748455,62,-2.0499999999999545
219,1999-03-25,6217,6404,6101,6304,1681410,1.38308137664844,1220.0,-0.2616088947024236,86,-3.2000000000000455
220,1999-03-26,6382,6467,6226,6327,847350,0.36484771573604063,1222.65,0.21721311475410582,23,2.650000000000091
221,1999-03-29,6218,6373,6101,6257,1030470,-1.106369527422159,1225.1,0.20038441091071182,-70,2.449999999999818
222,1999-03-30,6568,6910,6459,6607,3032860,5.593735016781205,1222.5,-0.21222757325931835,350,-2.599999999999909
223,1999-03-31,6685,6724,6451,6568,845730,-0.5902830331466626,1227.0,0.36809815950920244,-39,4.5
224,1999-04-01,6614,6762,6474,6615,1141060,0.715590742996346,1224.0,-0.24449877750611246,47,-3.0
225,1999-04-02,6614,6871,6568,6840,1602380,3.4013605442176873,1224.9,0.07352941176471331,225,0.900000000000091
226,1999-04-06,6940,7462,6925,7431,2122890,8.640350877192983,1223.5,-0.11429504449343546,591,-1.400000000000091
227,1999-04-07,7462,7851,6724,6723,1443650,-9.527654420670165,1224.0,0.04086636697997548,-708,0.5
228,1999-04-08,7384,7384,6887,7229,1203270,7.526401903911944,1222.0,-0.16339869281045752,506,-2.0
229,1999-04-09,7462,7540,7268,7384,1323190,2.14414165168073,1221.0,-0.08183306055646482,155,-1.0
230,1999-04-12,7462,7532,7151,7306,1578620,-1.056338028169014,1220.0,-0.08190008190008191,-78,-1.0
231,1999-04-13,7159,7680,7035,7462,2368840,2.135231316725979,1218.5,-0.12295081967213116,156,-1.5
232,1999-04-14,7695,8162,7478,7578,3246060,1.554543017957652,1213.0,-0.45137464095199015,116,-5.5
233,1999-04-15,7929,8550,7703,8550,3253840,12.826603325415679,1215.0,0.16488046166529266,972,2.0
234,1999-04-16,8783,9832,8705,9094,3504430,6.362573099415204,1216.0,0.0823045267489712,544,1.0
235,1999-04-19,9288,9638,8938,9560,1858260,5.124257752364196,1207.5,-0.6990131578947368,466,-8.5
236,1999-04-20,9482,9832,9171,9638,1472280,0.8158995815899581,1185.0,-1.8633540372670807,78,-22.5
237,1999-04-21,9405,10493,9405,9677,1370170,0.4046482672753683,1190.0,0.42194092827004215,39,5.0
238,1999-04-22,9676,9948,8977,9444,1493840,-2.4077710034101476,1193.0,0.25210084033613445,-233,3.0
239,1999-04-23,9560,9715,9249,9638,1143300,2.05421431596781,1190.0,-0.2514668901927913,194,-3.0
240,1999-04-26,9405,11077,9405,11076,1668940,14.920107906204608,1185.0,-0.42016806722689076,1438,-5.0
241,1999-04-27,11504,11659,10843,11348,1314360,2.4557602022390754,1182.5,-0.21097046413502107,272,-2.5
242,1999-04-28,11115,11504,10765,10921,777160,-3.762777581952767,1179.0,-0.2959830866807611,-427,-3.5
243,1999-04-29,10726,10921,10026,10260,1150080,-6.0525592894423585,1175.5,-0.2968617472434266,-661,-3.5
244,1999-04-30,10415,11115,9871,10649,1167230,3.791423001949318,1188.5,1.105912377711612,389,13.0
245,1999-05-03,10260,10882,10104,10532,444260,-1.0986947131186027,1190.5,0.16827934371055953,-117,2.0
246,1999-05-04,10532,10999,10532,10882,579250,3.3232054690467145,1196.75,0.5249895002099958,350,6.25
247,1999-05-06,11115,11970,10882,11853,1061100,8.922992097040986,1202.5,0.48046793398788384,971,5.75
248,1999-05-07,11854,12009,11504,11737,1186240,-0.9786551927781997,1202.5,0.0,-116,0.0
249,1999-05-10,11582,11893,11271,11504,552030,-1.9851750873306637,1200.95,-0.1288981288981251,-233,-1.5499999999999545
250,1999-05-11,11504,11504,10726,10804,995520,-6.084840055632823,1198.5,-0.20400516257962825,-700,-2.4500000000000455
